placeID;Days1;Days2;Days3;Days4;Days5
135067;Mon;Tue;Wed;Thu;Fri
135067;Sat;;;;
135067;Sun;;;;
135066;Sat;;;;
135066;Mon;Tue;Wed;Thu;Fri
135066;Sun;;;;
135065;Mon;Tue;Wed;Thu;Fri
135065;Sat;;;;
135065;Sun;;;;
135064;Mon;Tue;Wed;Thu;Fri
135064;Sat;;;;
135064;Sun;;;;
135063;Mon;Tue;Wed;Thu;Fri
135063;Sat;;;;
135063;Sun;;;;
135062;Mon;Tue;Wed;Thu;Fri
135062;Sat;;;;
135062;Sun;;;;
135061;Mon;Tue;Wed;Thu;Fri
135061;Sat;;;;
135061;Sun;;;;
135060;Mon;Tue;Wed;Thu;Fri
135060;Sat;;;;
135060;Sun;;;;
135059;Mon;Tue;Wed;Thu;Fri
135059;Sat;;;;
135059;Sun;;;;
135058;Mon;Tue;Wed;Thu;Fri
135058;Sat;;;;
135058;Sun;;;;
135057;Mon;Tue;Wed;Thu;Fri
135057;Sat;;;;
135057;Sun;;;;
135056;Mon;Tue;Wed;Thu;Fri
135056;Sat;;;;
135056;Sun;;;;
135055;Mon;Tue;Wed;Thu;Fri
135055;Sat;;;;
135055;Sun;;;;
135054;Mon;Tue;Wed;Thu;Fri
135054;Sat;;;;
135054;Sun;;;;
135053;Mon;Tue;Wed;Thu;Fri
135053;Sat;;;;
135053;Sun;;;;
135052;Mon;Tue;Wed;Thu;Fri
135052;Sat;;;;
135052;Sun;;;;
135051;Mon;Tue;Wed;Thu;Fri
135051;Sat;;;;
135051;Sun;;;;
135050;Mon;Tue;Wed;Thu;Fri
135050;Sat;;;;
135050;Sun;;;;
135049;Mon;Tue;Wed;Thu;Fri
135049;Sat;;;;
135049;Sun;;;;
135048;Mon;Tue;Wed;Thu;Fri
135048;Sat;;;;
135048;Sun;;;;
135047;Mon;Tue;Wed;Thu;Fri
135047;Sat;;;;
135047;Sun;;;;
135046;Mon;Tue;Wed;Thu;Fri
135046;Sat;;;;
135046;Sun;;;;
135045;Mon;Tue;Wed;Thu;Fri
135045;Sat;;;;
135045;Sun;;;;
135044;Mon;Tue;Wed;Thu;Fri
135044;Sat;;;;
135044;Sun;;;;
135043;Mon;Tue;Wed;Thu;Fri
135043;Sat;;;;
135043;Sun;;;;
135042;Mon;Tue;Wed;Thu;Fri
135042;Sat;;;;
135042;Sun;;;;
135041;Mon;Tue;Wed;Thu;Fri
135041;Sat;;;;
135041;Sun;;;;
135040;Mon;Tue;Wed;Thu;Fri
135040;Sat;;;;
135040;Sun;;;;
135039;Mon;Tue;Wed;Thu;Fri
135039;Sat;;;;
135039;Sun;;;;
135038;Mon;Tue;Wed;Thu;Fri
135038;Sat;;;;
135038;Sun;;;;
135037;Mon;Tue;Wed;Thu;Fri
135037;Sat;;;;
135037;Sun;;;;
135036;Mon;Tue;Wed;Thu;Fri
135036;Sat;;;;
135036;Sun;;;;
135035;Mon;Tue;Wed;Thu;Fri
135035;Sat;;;;
135035;Sun;;;;
135034;Mon;Tue;Wed;Thu;Fri
135034;Sat;;;;
135034;Sun;;;;
135033;Mon;Tue;Wed;Thu;Fri
135033;Sat;;;;
135033;Sun;;;;
135032;Mon;Tue;Wed;Thu;Fri
135032;Sat;;;;
135032;Sun;;;;
135031;Mon;Tue;Wed;Thu;Fri
135031;Sat;;;;
135031;Sun;;;;
135030;Mon;Tue;Wed;Thu;Fri
135030;Sat;;;;
135030;Sun;;;;
135029;Mon;Tue;Wed;Thu;Fri
135029;Sat;;;;
135029;Sun;;;;
135028;Mon;Tue;Wed;Thu;Fri
135028;Sat;;;;
135028;Sun;;;;
135027;Mon;Tue;Wed;Thu;Fri
135027;Sat;;;;
135027;Sun;;;;
135026;Mon;Tue;Wed;Thu;Fri
135026;Sat;;;;
135026;Sun;;;;
135025;Mon;Tue;Wed;Thu;Fri
135025;Sat;;;;
135025;Sun;;;;
135024;Mon;Tue;Wed;Thu;Fri
135024;Sat;;;;
135024;Sun;;;;
135023;Mon;Tue;Wed;Thu;Fri
135023;Sat;;;;
135023;Sun;;;;
135022;Mon;Tue;Wed;Thu;Fri
135022;Sat;;;;
135022;Sun;;;;
135021;Mon;Tue;Wed;Thu;Fri
135021;Sat;;;;
135021;Sun;;;;
135020;Mon;Tue;Wed;Thu;Fri
135020;Sat;;;;
135020;Sun;;;;
135019;Mon;Tue;Wed;Thu;Fri
135019;Sat;;;;
135019;Sun;;;;
135018;Mon;Tue;Wed;Thu;Fri
135018;Sat;;;;
135018;Sun;;;;
135017;Mon;Tue;Wed;Thu;Fri
135017;Sat;;;;
135017;Sun;;;;
135016;Mon;Tue;Wed;Thu;Fri
135016;Sat;;;;
135016;Sun;;;;
135015;Mon;Tue;Wed;Thu;Fri
135015;Sat;;;;
135015;Sun;;;;
135014;Mon;Tue;Wed;Thu;Fri
135014;Sat;;;;
135014;Sun;;;;
135013;Mon;Tue;Wed;Thu;Fri
135013;Sat;;;;
135013;Sun;;;;
135012;Mon;Tue;Wed;Thu;Fri
135012;Sat;;;;
135012;Sun;;;;
135011;Mon;Tue;Wed;Thu;Fri
135011;Sat;;;;
135011;Sun;;;;
135010;Mon;Tue;Wed;Thu;Fri
135010;Sat;;;;
135010;Sun;;;;
135009;Mon;Tue;Wed;Thu;Fri
135009;Sat;;;;
135009;Sun;;;;
135008;Mon;Tue;Wed;Thu;Fri
135008;Sat;;;;
135008;Sun;;;;
135007;Mon;Tue;Wed;Thu;Fri
135007;Sat;;;;
135007;Sun;;;;
135006;Mon;Tue;Wed;Thu;Fri
135006;Sat;;;;
135006;Sun;;;;
135005;Mon;Tue;Wed;Thu;Fri
135005;Sat;;;;
135005;Sun;;;;
135004;Mon;Tue;Wed;Thu;Fri
135004;Sat;;;;
135004;Sun;;;;
135003;Mon;Tue;Wed;Thu;Fri
135003;Sat;;;;
135003;Sun;;;;
135002;Mon;Tue;Wed;Thu;Fri
135002;Sat;;;;
135002;Sun;;;;
135001;Mon;Tue;Wed;Thu;Fri
135001;Sat;;;;
135001;Sun;;;;
135000;Mon;Tue;Wed;Thu;Fri
135000;Sat;;;;
135000;Sun;;;;
134999;Mon;Tue;Wed;Thu;Fri
134999;Sat;;;;
134999;Sun;;;;
134998;Mon;Tue;Wed;Thu;Fri
134998;Sat;;;;
134998;Sun;;;;
134997;Mon;Tue;Wed;Thu;Fri
134997;Sat;;;;
134997;Sun;;;;
134996;Mon;Tue;Wed;Thu;Fri
134996;Sat;;;;
134996;Sun;;;;
134995;Mon;Tue;Wed;Thu;Fri
134995;Sat;;;;
134995;Sun;;;;
134994;Mon;Tue;Wed;Thu;Fri
134994;Sat;;;;
134994;Sun;;;;
134993;Mon;Tue;Wed;Thu;Fri
134993;Sat;;;;
134993;Sun;;;;
134992;Mon;Tue;Wed;Thu;Fri
134992;Sat;;;;
134992;Sun;;;;
134991;Mon;Tue;Wed;Thu;Fri
134991;Sat;;;;
134991;Sun;;;;
134990;Mon;Tue;Wed;Thu;Fri
134990;Sat;;;;
134990;Sun;;;;
134989;Mon;Tue;Wed;Thu;Fri
134989;Sat;;;;
134989;Sun;;;;
134988;Mon;Tue;Wed;Thu;Fri
134988;Sat;;;;
134988;Sun;;;;
134987;Mon;Tue;Wed;Thu;Fri
134987;Sat;;;;
134987;Sun;;;;
134986;Mon;Tue;Wed;Thu;Fri
134986;Sat;;;;
134986;Sun;;;;
134985;Mon;Tue;Wed;Thu;Fri
134985;Sat;;;;
134985;Sun;;;;
134984;Mon;Tue;Wed;Thu;Fri
134984;Sat;;;;
134984;Sun;;;;
134983;Mon;Tue;Wed;Thu;Fri
134983;Sat;;;;
134983;Sun;;;;
134982;Mon;Tue;Wed;Thu;Fri
134982;Sat;;;;
134982;Sun;;;;
134981;Mon;Tue;Wed;Thu;Fri
134981;Sat;;;;
134981;Sun;;;;
134980;Mon;Tue;Wed;Thu;Fri
134980;Sat;;;;
134980;Sun;;;;
134979;Mon;Tue;Wed;Thu;Fri
134979;Sat;;;;
134979;Sun;;;;
134978;Mon;Tue;Wed;Thu;Fri
134978;Sat;;;;
134978;Sun;;;;
134977;Mon;Tue;Wed;Thu;Fri
134977;Sat;;;;
134977;Sun;;;;
134975;Mon;Tue;Wed;Thu;Fri
134975;Sat;;;;
134975;Sun;;;;
134974;Mon;Tue;Wed;Thu;Fri
134974;Sat;;;;
134974;Sun;;;;
134973;Mon;Tue;Wed;Thu;Fri
134973;Sat;;;;
134973;Sun;;;;
134972;Mon;Tue;Wed;Thu;Fri
134972;Sat;;;;
134972;Sun;;;;
134971;Mon;Tue;Wed;Thu;Fri
134971;Sat;;;;
134971;Sun;;;;
134970;Mon;Tue;Wed;Thu;Fri
134970;Sat;;;;
134970;Sun;;;;
133049;Mon;Tue;Wed;Thu;Fri
133049;Sat;;;;
133049;Sun;;;;
133048;Mon;Tue;Wed;Thu;Fri
133048;Sat;;;;
133048;Sun;;;;
133047;Mon;Tue;Wed;Thu;Fri
133047;Sat;;;;
133047;Sun;;;;
133043;Mon;Tue;Wed;Thu;Fri
133043;Sat;;;;
133043;Sun;;;;
133042;Mon;Tue;Wed;Thu;Fri
133042;Sat;;;;
133042;Sun;;;;
133041;Mon;Tue;Wed;Thu;Fri
133041;Sat;;;;
133041;Sun;;;;
133040;Mon;Tue;Wed;Thu;Fri
133040;Sat;;;;
133040;Sun;;;;
133039;Mon;Tue;Wed;Thu;Fri
133039;Sat;;;;
133039;Sun;;;;
133038;Mon;Tue;Wed;Thu;Fri
133038;Sat;;;;
133038;Sun;;;;
133037;Mon;Tue;Wed;Thu;Fri
133037;Sat;;;;
133037;Sun;;;;
133036;Mon;Tue;Wed;Thu;Fri
133036;Sat;;;;
133036;Sun;;;;
133035;Mon;Tue;Wed;Thu;Fri
133035;Sat;;;;
133035;Sun;;;;
133034;Mon;Tue;Wed;Thu;Fri
133034;Sat;;;;
133034;Sun;;;;
133033;Mon;Tue;Wed;Thu;Fri
133033;Sat;;;;
133033;Sun;;;;
133032;Mon;Tue;Wed;Thu;Fri
133032;Sat;;;;
133032;Sun;;;;
133031;Mon;Tue;Wed;Thu;Fri
133031;Sat;;;;
133031;Sun;;;;
133030;Mon;Tue;Wed;Thu;Fri
133030;Sat;;;;
133030;Sun;;;;
133029;Mon;Tue;Wed;Thu;Fri
133029;Sat;;;;
133029;Sun;;;;
133028;Mon;Tue;Wed;Thu;Fri
133028;Sat;;;;
133028;Sun;;;;
133027;Mon;Tue;Wed;Thu;Fri
133027;Sat;;;;
133027;Sun;;;;
133026;Mon;Tue;Wed;Thu;Fri
133026;Sat;;;;
133026;Sun;;;;
133025;Mon;Tue;Wed;Thu;Fri
133025;Sat;;;;
133025;Sun;;;;
133024;Mon;Tue;Wed;Thu;Fri
133024;Sat;;;;
133024;Sun;;;;
133023;Mon;Tue;Wed;Thu;Fri
133023;Sat;;;;
133023;Sun;;;;
133022;Mon;Tue;Wed;Thu;Fri
133022;Sat;;;;
133022;Sun;;;;
133021;Mon;Tue;Wed;Thu;Fri
133021;Sat;;;;
133021;Sun;;;;
133020;Mon;Tue;Wed;Thu;Fri
133020;Sat;;;;
133020;Sun;;;;
133019;Mon;Tue;Wed;Thu;Fri
133019;Sat;;;;
133019;Sun;;;;
133018;Mon;Tue;Wed;Thu;Fri
133018;Sat;;;;
133018;Sun;;;;
133017;Mon;Tue;Wed;Thu;Fri
133017;Sat;;;;
133017;Sun;;;;
133016;Mon;Tue;Wed;Thu;Fri
133016;Sat;;;;
133016;Sun;;;;
133015;Mon;Tue;Wed;Thu;Fri
133015;Sat;;;;
133015;Sun;;;;
133014;Mon;Tue;Wed;Thu;Fri
133014;Sat;;;;
133014;Sun;;;;
133013;Mon;Tue;Wed;Thu;Fri
133013;Sat;;;;
133013;Sun;;;;
133012;Mon;Tue;Wed;Thu;Fri
133012;Sat;;;;
133012;Sun;;;;
133011;Mon;Tue;Wed;Thu;Fri
133011;Sat;;;;
133011;Sun;;;;
133010;Mon;Tue;Wed;Thu;Fri
133010;Sat;;;;
133010;Sun;;;;
133009;Mon;Tue;Wed;Thu;Fri
133009;Sat;;;;
133009;Sun;;;;
133008;Mon;Tue;Wed;Thu;Fri
133008;Sat;;;;
133008;Sun;;;;
133007;Mon;Tue;Wed;Thu;Fri
133007;Sat;;;;
133007;Sun;;;;
133006;Mon;Tue;Wed;Thu;Fri
133006;Sat;;;;
133006;Sun;;;;
133005;Mon;Tue;Wed;Thu;Fri
133005;Sat;;;;
133005;Sun;;;;
133004;Mon;Tue;Wed;Thu;Fri
133004;Sat;;;;
133004;Sun;;;;
133003;Mon;Tue;Wed;Thu;Fri
133003;Sat;;;;
133003;Sun;;;;
133002;Mon;Tue;Wed;Thu;Fri
133002;Sat;;;;
133002;Sun;;;;
133001;Mon;Tue;Wed;Thu;Fri
133001;Sat;;;;
133001;Sun;;;;
133000;Mon;Tue;Wed;Thu;Fri
133000;Sat;;;;
133000;Sun;;;;
132999;Mon;Tue;Wed;Thu;Fri
132999;Sat;;;;
132999;Sun;;;;
132998;Mon;Tue;Wed;Thu;Fri
132998;Sat;;;;
132998;Sun;;;;
132997;Mon;Tue;Wed;Thu;Fri
132997;Sat;;;;
132997;Sun;;;;
132996;Mon;Tue;Wed;Thu;Fri
132996;Sat;;;;
132996;Sun;;;;
132995;Mon;Tue;Wed;Thu;Fri
132995;Sat;;;;
132995;Sun;;;;
132994;Mon;Tue;Wed;Thu;Fri
132994;Sat;;;;
132994;Sun;;;;
132993;Mon;Tue;Wed;Thu;Fri
132993;Sat;;;;
132993;Sun;;;;
132992;Mon;Tue;Wed;Thu;Fri
132992;Sat;;;;
132992;Sun;;;;
132986;Mon;Tue;Wed;Thu;Fri
132986;Sat;;;;
132986;Sun;;;;
132985;Mon;Tue;Wed;Thu;Fri
132985;Sat;;;;
132985;Sun;;;;
132984;Mon;Tue;Wed;Thu;Fri
132984;Sat;;;;
132984;Sun;;;;
132983;Mon;Tue;Wed;Thu;Fri
132983;Sat;;;;
132983;Sun;;;;
132982;Mon;Tue;Wed;Thu;Fri
132982;Sat;;;;
132982;Sun;;;;
132981;Mon;Tue;Wed;Thu;Fri
132981;Sat;;;;
132981;Sun;;;;
132980;Mon;Tue;Wed;Thu;Fri
132980;Sat;;;;
132980;Sun;;;;
132979;Mon;Tue;Wed;Thu;Fri
132979;Sat;;;;
132979;Sun;;;;
132978;Mon;Tue;Wed;Thu;Fri
132978;Sat;;;;
132978;Sun;;;;
132977;Mon;Tue;Wed;Thu;Fri
132977;Sat;;;;
132977;Sun;;;;
132976;Mon;Tue;Wed;Thu;Fri
132976;Sat;;;;
132976;Sun;;;;
132975;Mon;Tue;Wed;Thu;Fri
132975;Sat;;;;
132975;Sun;;;;
132974;Mon;Tue;Wed;Thu;Fri
132974;Sat;;;;
132974;Sun;;;;
132973;Mon;Tue;Wed;Thu;Fri
132973;Sat;;;;
132973;Sun;;;;
132972;Mon;Tue;Wed;Thu;Fri
132972;Sat;;;;
132972;Sun;;;;
132971;Sat;;;;
132971;Mon;Tue;Wed;Thu;Fri
132971;Sun;;;;
132970;Mon;Tue;Wed;Thu;Fri
132970;Sat;;;;
132970;Sun;;;;
132969;Mon;Tue;Wed;Thu;Fri
132969;Sat;;;;
132969;Sun;;;;
132968;Mon;Tue;Wed;Thu;Fri
132968;Sat;;;;
132968;Sun;;;;
132967;Mon;Tue;Wed;Thu;Fri
132967;Sat;;;;
132967;Sun;;;;
132966;Mon;Tue;Wed;Thu;Fri
132966;Sat;;;;
132966;Sun;;;;
132965;Mon;Tue;Wed;Thu;Fri
132965;Sat;;;;
132965;Sun;;;;
132964;Mon;Tue;Wed;Thu;Fri
132964;Sat;;;;
132964;Sun;;;;
132963;Mon;Tue;Wed;Thu;Fri
132963;Sat;;;;
132963;Sun;;;;
132962;Mon;Tue;Wed;Thu;Fri
132962;Sat;;;;
132962;Sun;;;;
132961;Mon;Tue;Wed;Thu;Fri
132961;Sat;;;;
132961;Sun;;;;
132960;Mon;Tue;Wed;Thu;Fri
132960;Sat;;;;
132960;Sun;;;;
132959;Mon;Tue;Wed;Thu;Fri
132959;Sat;;;;
132959;Sun;;;;
132958;Mon;Tue;Wed;Thu;Fri
132958;Sat;;;;
132958;Sun;;;;
132957;Mon;Tue;Wed;Thu;Fri
132957;Sat;;;;
132957;Sun;;;;
132956;Mon;Tue;Wed;Thu;Fri
132956;Sat;;;;
132956;Sun;;;;
132955;Mon;Tue;Wed;Thu;Fri
132955;Sat;;;;
132955;Sun;;;;
132954;Mon;Tue;Wed;Thu;Fri
132954;Sat;;;;
132954;Sun;;;;
132953;Mon;Tue;Wed;Thu;Fri
132953;Sat;;;;
132953;Sun;;;;
132951;Mon;Tue;Wed;Thu;Fri
132951;Sat;;;;
132951;Sun;;;;
132950;Mon;Tue;Wed;Thu;Fri
132950;Sat;;;;
132950;Sun;;;;
132948;Mon;Tue;Wed;Thu;Fri
132948;Sat;;;;
132948;Sun;;;;
132947;Mon;Tue;Wed;Thu;Fri
132947;Sat;;;;
132947;Sun;;;;
132946;Mon;Tue;Wed;Thu;Fri
132946;Sat;;;;
132946;Sun;;;;
132945;Mon;Tue;Wed;Thu;Fri
132945;Sat;;;;
132945;Sun;;;;
132944;Mon;Tue;Wed;Thu;Fri
132944;Sat;;;;
132944;Sun;;;;
132943;Mon;Tue;Wed;Thu;Fri
132943;Sat;;;;
132943;Sun;;;;
132942;Mon;Tue;Wed;Thu;Fri
132942;Sat;;;;
132942;Sun;;;;
132941;Mon;Tue;Wed;Thu;Fri
132941;Sat;;;;
132941;Sun;;;;
132940;Mon;Tue;Wed;Thu;Fri
132940;Sat;;;;
132940;Sun;;;;
132939;Mon;Tue;Wed;Thu;Fri
132939;Sat;;;;
132939;Sun;;;;
132938;Mon;Tue;Wed;Thu;Fri
132938;Sat;;;;
132938;Sun;;;;
132937;Mon;Tue;Wed;Thu;Fri
132937;Sat;;;;
132937;Sun;;;;
132936;Mon;Tue;Wed;Thu;Fri
132936;Sat;;;;
132936;Sun;;;;
132935;Mon;Tue;Wed;Thu;Fri
132935;Sat;;;;
132935;Sun;;;;
132934;Mon;Tue;Wed;Thu;Fri
132934;Sat;;;;
132934;Sun;;;;
132933;Mon;Tue;Wed;Thu;Fri
132933;Sat;;;;
132933;Sun;;;;
132932;Mon;Tue;Wed;Thu;Fri
132932;Sat;;;;
132932;Sun;;;;
132931;Mon;Tue;Wed;Thu;Fri
132931;Sat;;;;
132931;Sun;;;;
132930;Mon;Tue;Wed;Thu;Fri
132930;Sat;;;;
132930;Sun;;;;
132929;Mon;Tue;Wed;Thu;Fri
132929;Sat;;;;
132929;Sun;;;;
132928;Mon;Tue;Wed;Thu;Fri
132928;Sat;;;;
132928;Sun;;;;
132927;Mon;Tue;Wed;Thu;Fri
132927;Sat;;;;
132927;Sun;;;;
132926;Mon;Tue;Wed;Thu;Fri
132926;Sat;;;;
132926;Sun;;;;
132925;Mon;Tue;Wed;Thu;Fri
132925;Sat;;;;
132925;Sun;;;;
132924;Mon;Tue;Wed;Thu;Fri
132924;Sat;;;;
132924;Sun;;;;
132923;Mon;Tue;Wed;Thu;Fri
132923;Sat;;;;
132923;Sun;;;;
132922;Mon;Tue;Wed;Thu;Fri
132922;Sat;;;;
132922;Sun;;;;
132921;Mon;Tue;Wed;Thu;Fri
132921;Sat;;;;
132921;Sun;;;;
132920;Mon;Tue;Wed;Thu;Fri
132920;Sat;;;;
132920;Sun;;;;
132919;Mon;Tue;Wed;Thu;Fri
132919;Sat;;;;
132919;Sun;;;;
132918;Mon;Tue;Wed;Thu;Fri
132918;Sat;;;;
132918;Sun;;;;
132917;Mon;Tue;Wed;Thu;Fri
132917;Sat;;;;
132917;Sun;;;;
132916;Mon;Tue;Wed;Thu;Fri
132916;Sat;;;;
132916;Sun;;;;
132915;Mon;Tue;Wed;Thu;Fri
132915;Sat;;;;
132915;Sun;;;;
132914;Mon;Tue;Wed;Thu;Fri
132914;Sat;;;;
132914;Sun;;;;
132913;Mon;Tue;Wed;Thu;Fri
132913;Sat;;;;
132913;Sun;;;;
132912;Mon;Tue;Wed;Thu;Fri
132912;Sat;;;;
132912;Sun;;;;
132911;Mon;Tue;Wed;Thu;Fri
132911;Sat;;;;
132911;Sun;;;;
132910;Mon;Tue;Wed;Thu;Fri
132910;Sat;;;;
132910;Sun;;;;
132909;Mon;Tue;Wed;Thu;Fri
132909;Sat;;;;
132909;Sun;;;;
132908;Mon;Tue;Wed;Thu;Fri
132908;Sat;;;;
132908;Sun;;;;
132907;Mon;Tue;Wed;Thu;Fri
132907;Sat;;;;
132907;Sun;;;;
132906;Mon;Tue;Wed;Thu;Fri
132906;Sat;;;;
132906;Sun;;;;
132905;Mon;Tue;Wed;Thu;Fri
132905;Sat;;;;
132905;Sun;;;;
132904;Mon;Tue;Wed;Thu;Fri
132904;Sat;;;;
132904;Sun;;;;
132903;Mon;Tue;Wed;Thu;Fri
132903;Sat;;;;
132903;Sun;;;;
132902;Mon;Tue;Wed;Thu;Fri
132902;Sat;;;;
132902;Sun;;;;
132901;Mon;Tue;Wed;Thu;Fri
132901;Sat;;;;
132901;Sun;;;;
132900;Mon;Tue;Wed;Thu;Fri
132900;Sat;;;;
132900;Sun;;;;
132899;Mon;Tue;Wed;Thu;Fri
132899;Sat;;;;
132899;Sun;;;;
132898;Mon;Tue;Wed;Thu;Fri
132898;Sat;;;;
132898;Sun;;;;
132897;Mon;Tue;Wed;Thu;Fri
132897;Sat;;;;
132897;Sun;;;;
132896;Mon;Tue;Wed;Thu;Fri
132896;Sat;;;;
132896;Sun;;;;
132895;Mon;Tue;Wed;Thu;Fri
132895;Sat;;;;
132895;Sun;;;;
132894;Mon;Tue;Wed;Thu;Fri
132894;Sat;;;;
132894;Sun;;;;
132893;Mon;Tue;Wed;Thu;Fri
132893;Sat;;;;
132893;Sun;;;;
132892;Mon;Tue;Wed;Thu;Fri
132892;Sat;;;;
132892;Sun;;;;
132891;Mon;Tue;Wed;Thu;Fri
132891;Sat;;;;
132891;Sun;;;;
132890;Mon;Tue;Wed;Thu;Fri
132890;Sat;;;;
132890;Sun;;;;
132889;Mon;Tue;Wed;Thu;Fri
132889;Sat;;;;
132889;Sun;;;;
132888;Mon;Tue;Wed;Thu;Fri
132888;Sat;;;;
132888;Sun;;;;
132887;Sat;;;;
132887;Mon;Tue;Wed;Thu;Fri
132887;Sun;;;;
132886;Mon;Tue;Wed;Thu;Fri
132886;Sat;;;;
132886;Sun;;;;
132885;Mon;Tue;Wed;Thu;Fri
132885;Sat;;;;
132885;Sun;;;;
132884;Mon;Tue;Wed;Thu;Fri
132884;Sat;;;;
132884;Sun;;;;
132883;Mon;Tue;Wed;Thu;Fri
132883;Sat;;;;
132883;Sun;;;;
132882;Mon;Tue;Wed;Thu;Fri
132882;Sat;;;;
132882;Sun;;;;
132881;Mon;Tue;Wed;Thu;Fri
132881;Sat;;;;
132881;Sun;;;;
132880;Mon;Tue;Wed;Thu;Fri
132880;Sat;;;;
132880;Sun;;;;
132879;Mon;Tue;Wed;Thu;Fri
132879;Sat;;;;
132879;Sun;;;;
132878;Mon;Tue;Wed;Thu;Fri
132878;Sat;;;;
132878;Sun;;;;
132877;Mon;Tue;Wed;Thu;Fri
132877;Sat;;;;
132877;Sun;;;;
132876;Mon;Tue;Wed;Thu;Fri
132876;Sat;;;;
132876;Sun;;;;
132875;Mon;Tue;Wed;Thu;Fri
132875;Sat;;;;
132875;Sun;;;;
132874;Mon;Tue;Wed;Thu;Fri
132874;Sat;;;;
132874;Sun;;;;
132873;Mon;Tue;Wed;Thu;Fri
132873;Sat;;;;
132873;Sun;;;;
132872;Mon;Tue;Wed;Thu;Fri
132872;Sat;;;;
132872;Sun;;;;
132871;Mon;Tue;Wed;Thu;Fri
132871;Sat;;;;
132871;Sun;;;;
132870;Mon;Tue;Wed;Thu;Fri
132870;Sat;;;;
132870;Sun;;;;
132869;Mon;Tue;Wed;Thu;Fri
132869;Sat;;;;
132869;Sun;;;;
132868;Mon;Tue;Wed;Thu;Fri
132868;Sat;;;;
132868;Sun;;;;
132867;Mon;Tue;Wed;Thu;Fri
132867;Sat;;;;
132867;Sun;;;;
